id,prompt,A,B,C,D,E,answer,prompt_clean,A_clean,B_clean,C_clean,D_clean,E_clean,prompt_char_len,prompt_word_len,A_char_len,A_word_len,B_char_len,B_word_len,C_char_len,C_word_len,D_char_len,D_word_len,E_char_len,E_word_len
395,Determine the correct option: What is the role of methane in Fischer-Tropsch processes? from the following choices.,Methane is partially converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Methane is used as a catalyst in Fischer-Tropsch processes.,Methane is not used in Fischer-Tropsch processes.,Methane is fully converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Methane is a byproduct of Fischer-Tropsch processes.,A,determine correct option role methane fischer tropsch process following choice,methane partially converted carbon monoxide utilization fischer tropsch process,methane used catalyst fischer tropsch process,methane used fischer tropsch process,methane fully converted carbon monoxide utilization fischer tropsch process,methane byproduct fischer tropsch process,115,17,95,12,59,9,49,7,91,12,52,7
396,Choose the correct answer: What is the distinction between natural convection and forced convection? from the following choices.,"Natural convection and forced convection are the same phenomenon, where a fluid is forced to flow over the surface by an internal source such as fans, stirring, and pumps, causing the fluid to be less dense and displaced.",Natural convection and forced convection are two different phenomena that do not relate to each other.,"Natural convection occurs when a fluid is in contact with a hot surface, causing the fluid to be less dense and displaced, while forced convection is when a fluid is forced to flow over the surface by an internal source such as fans, stirring, and pumps.","Natural convection is when a fluid is forced to flow over the surface by an internal source such as fans, stirring, and pumps, while forced convection occurs when a fluid is in contact with a hot surface, causing the fluid to be less dense and displaced.","Natural convection and forced convection are the same phenomenon, where a fluid is in contact with a hot surface, causing the fluid to be less dense and displaced, and then forced to flow over the surface by an internal source such as fans, stirring, and pumps.",C,choose correct answer distinction natural convection forced convection following choice,natural convection forced convection phenomenon fluid forced flow surface internal source fan stirring pump causing fluid less dense displaced,natural convection forced convection two different phenomenon relate,natural convection occurs fluid contact hot surface causing fluid less dense displaced forced convection fluid forced flow surface internal source fan stirring pump,natural convection fluid forced flow surface internal source fan stirring pump forced convection occurs fluid contact hot surface causing fluid less dense displaced,natural convection forced convection phenomenon fluid contact hot surface causing fluid less dense displaced forced flow surface internal source fan stirring pump,128,18,221,38,102,16,254,46,254,46,261,46
397,Which of the following is correct? What is the reason for the stochastic nature of all observed resistance-switching processes?,"The free-energy barriers for the transition {i} → {j} are not high enough, and the memory device can switch without having to do anything.","The device is subjected to random thermal fluctuations, which trigger the switching event, but it is impossible to predict when it will occur.","The memory device is found to be in a distinct resistance state {j}, and there exists no physical one-to-one relationship between its present state and its foregoing voltage history.","The device is subjected to biases below the threshold value, which still allows for a finite probability of switching, but it is possible to predict when it will occur.","The external bias is set to a value above a certain threshold value, which reduces the free-energy barrier for the transition {i} → {j} to zero.",B,following correct reason stochastic nature observed resistance switching process,free energy barrier transition high enough memory device switch without anything,device subjected random thermal fluctuation trigger switching event impossible predict occur,memory device found distinct resistance state exists physical one one relationship present state foregoing voltage history,device subjected bias threshold value still allows finite probability switching possible predict occur,external bias set value certain threshold value reduces free energy barrier transition zero,127,19,138,24,142,23,182,29,168,29,144,26
398,Which of the following is correct? What is the Carnot engine? among the listed options.,The Carnot engine is a theoretical engine that operates in the limiting mode of extreme speed known as dynamic. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,The Carnot engine is an ideal heat engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,The Carnot engine is a real heat engine that operates in the limiting mode of extreme speed known as dynamic. It represents the theoretical minimum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,The Carnot engine is a theoretical engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical minimum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,The Carnot engine is a real engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,B,following correct carnot engine among listed option,carnot engine theoretical engine operates limiting mode extreme speed known dynamic represents theoretical maximum efficiency heat engine operating two given thermal heat reservoir different temperature,carnot engine ideal heat engine operates limiting mode extreme slowness known quasi static represents theoretical maximum efficiency heat engine operating two given thermal heat reservoir different temperature,carnot engine real heat engine operates limiting mode extreme speed known dynamic represents theoretical minimum efficiency heat engine operating two given thermal heat reservoir different temperature,carnot engine theoretical engine operates limiting mode extreme slowness known quasi static represents theoretical minimum efficiency heat engine operating two given thermal heat reservoir different temperature,carnot engine real engine operates limiting mode extreme slowness known quasi static represents theoretical maximum efficiency heat engine operating two given thermal heat reservoir different temperature,87,15,263,41,271,42,261,42,271,41,264,41
399,Identify the correct statement: What is the role of axioms in a formal principle? carefully.,"Basis statements called axioms form the foundation of a formal framework and, together with the deducing rules, help in deriving a set of statements called theorems using proof framework.",Axioms are supplementary statements added to a formal principle that break down otherwise complex statements into more simple ones.,"Axioms are redundant statements that can be derived from other statements in a formal framework, providing additional perspective to theorems derived from the framework.",The axioms in a framework are used for experimental validation of the theorems derived from the statements in the framework.,"The axioms in a formal principle are added to prove that the statements derived from the principle are true, irrespective of their validity in the real world.",A,identify correct statement role axiom formal principle carefully,basis statement called axiom form foundation formal framework together deducing rule help deriving set statement called theorem using proof framework,axiom supplementary statement added formal principle break otherwise complex statement simple one,axiom redundant statement derived statement formal framework providing additional perspective theorem derived framework,axiom framework used experimental validation theorem derived statement framework,axiom formal principle added prove statement derived principle true irrespective validity real world,92,15,187,29,131,19,169,24,124,20,158,27
400,Select the most accurate option: What is a virtual particle? based on the given context.,A particle that is not affected by the strong force.,A particle that is not affected by the weak force.,A particle that is created in a laboratory for experimental purposes.,A particle that is not directly observable but is inferred from its effects on measurable particles.,A particle that is directly observable and can be measured in experiments.,D,select accurate option virtual particle based given context,particle affected strong force,particle affected weak force,particle created laboratory experimental purpose,particle directly observable inferred effect measurable particle,particle directly observable measured experiment,88,15,52,10,50,10,69,11,100,16,74,12
401,Pick the best possible answer: What was Isaac Newton's explanation for rectilinear propagation of light? among the listed options.,"Isaac Newton rejected the wave framework of light and proposed that light consists of corpuscles that are subject to a force acting parallel to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the far side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton rejected the wave principle of light and proposed that light consists of corpuscles that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the near side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton accepted the wave concept of light and proposed that light consists of transverse waves that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching wave was just enough to reach the far side of the force field; at more oblique incidence, the wave would be turned back.","Isaac Newton rejected the wave framework of light and proposed that light consists of corpuscles that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the far side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton accepted the wave principle of light and proposed that light consists of longitudinal waves that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching wave was just enough to reach the far side of the force field; at more oblique incidence, the wave would be turned back.",D,pick best possible answer isaac newton explanation rectilinear propagation light among listed option,isaac newton rejected wave framework light proposed light consists corpuscle subject force acting parallel interface model critical angle angle incidence normal velocity approaching corpuscle enough reach far side force field oblique incidence corpuscle would turned back,isaac newton rejected wave principle light proposed light consists corpuscle subject force acting perpendicular interface model critical angle angle incidence normal velocity approaching corpuscle enough reach near side force field oblique incidence corpuscle would turned back,isaac newton accepted wave concept light proposed light consists transverse wave subject force acting perpendicular interface model critical angle angle incidence normal velocity approaching wave enough reach far side force field oblique incidence wave would turned back,isaac newton rejected wave framework light proposed light consists corpuscle subject force acting perpendicular interface model critical angle angle incidence normal velocity approaching corpuscle enough reach far side force field oblique incidence corpuscle would turned back,isaac newton accepted wave principle light proposed light consists longitudinal wave subject force acting perpendicular interface model critical angle angle incidence normal velocity approaching wave enough reach far side force field oblique incidence wave would turned back,130,19,398,68,404,68,397,69,403,68,401,69
402,Pick the best possible answer: What is the effect generated by a spinning superconductor?,"An electric field, precisely aligned with the spin axis.","A magnetic field, randomly aligned with the spin axis.","A magnetic field, precisely aligned with the spin axis.","A gravitational field, randomly aligned with the spin axis.","A gravitational field, precisely aligned with the spin axis.",C,pick best possible answer effect generated spinning superconductor,electric field precisely aligned spin axis,magnetic field randomly aligned spin axis,magnetic field precisely aligned spin axis,gravitational field randomly aligned spin axis,gravitational field precisely aligned spin axis,89,14,56,9,54,9,55,9,59,9,60,9
403,Which of the following is correct? What is the significance of the change in slope of the pinched hysteresis curves in ReRAM and other forms of two-terminal resistance memory? based on the given context.,"The change in slope of the pinched hysteresis curves demonstrates switching between different resistance states, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves indicates the presence of a Type-II non-crossing curve, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves demonstrates the presence of a memristor, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves demonstrates the presence of a memristive network, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.","The change in slope of the pinched hysteresis curves indicates the presence of a linear resistor, which is a phenomenon central to ReRAM and other forms of two-terminal resistance memory.",A,following correct significance change slope pinched hysteresis curve reram form two terminal resistance memory based given context,change slope pinched hysteresis curve demonstrates switching different resistance state phenomenon central reram form two terminal resistance memory,change slope pinched hysteresis curve indicates presence type ii non crossing curve phenomenon central reram form two terminal resistance memory,change slope pinched hysteresis curve demonstrates presence memristor phenomenon central reram form two terminal resistance memory,change slope pinched hysteresis curve demonstrates presence memristive network phenomenon central reram form two terminal resistance memory,change slope pinched hysteresis curve indicates presence linear resistor phenomenon central reram form two terminal resistance memory,203,34,202,29,198,31,184,29,193,30,187,30
404,Which of the following is correct? What is the piezoelectric strain coefficient for AT-cut quartz crystals? from the following choices.,d = 1.9·10‑12 m/V,d = 3.1·10‑12 m/V,d = 4.2·10‑12 m/V,d = 2.5·10‑12 m/V,d = 5.8·10‑12 m/V,B,following correct piezoelectric strain coefficient cut quartz crystal following choice,,,,,,135,20,17,4,17,4,17,4,17,4,17,4
405,Which of the following is correct? What is the reason that Newton's second law cannot be used to calculate the development of a physical mechanism in quantum mechanics? among the listed options.,"The existence of particle spin, which is linear momentum that can be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that is always equal to zero.","The existence of particle spin, which is linear momentum that cannot be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that cannot be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that can be described by the cumulative effect of point-like motions in space.",D,following correct reason newton second law used calculate development physical mechanism quantum mechanic among listed option,existence particle spin linear momentum described cumulative effect point like motion space,existence particle spin angular momentum always equal zero,existence particle spin linear momentum described cumulative effect point like motion space,existence particle spin angular momentum described cumulative effect point like motion space,existence particle spin angular momentum described cumulative effect point like motion space,194,32,135,22,87,15,138,22,139,22,136,22
406,Choose the correct answer: What is the distinction between probability mass function (PMF) and probability density function (PDF)? from the following choices.,"PMF is used only for continuous random variables, while PDF is used for both continuous and discrete random variables.","PMF is used for both continuous and discrete random variables, while PDF is used only for continuous random variables.","PMF is used for continuous random variables, while PDF is used for discrete random variables.","PMF is used for discrete random variables, while PDF is used for continuous random variables.",PMF and PDF are interchangeable terms used for the same concept in probability framework.,D,choose correct answer distinction probability mass function pmf probability density function pdf following choice,pmf used continuous random variable pdf used continuous discrete random variable,pmf used continuous discrete random variable pdf used continuous random variable,pmf used continuous random variable pdf used discrete random variable,pmf used discrete random variable pdf used continuous random variable,pmf pdf interchangeable term used concept probability framework,158,22,118,19,118,19,93,15,93,15,89,14
407,What is the Carnot engine?,The Carnot engine is a theoretical engine that operates in the limiting mode of extreme speed known as dynamic. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,The Carnot engine is an ideal heat engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,The Carnot engine is a real heat engine that operates in the limiting mode of extreme speed known as dynamic. It represents the theoretical minimum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,The Carnot engine is a theoretical engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical minimum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,The Carnot engine is a real engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,B,carnot engine,carnot engine theoretical engine operates limiting mode extreme speed known dynamic represents theoretical maximum efficiency heat engine operating two given thermal heat reservoir different temperature,carnot engine ideal heat engine operates limiting mode extreme slowness known quasi static represents theoretical maximum efficiency heat engine operating two given thermal heat reservoir different temperature,carnot engine real heat engine operates limiting mode extreme speed known dynamic represents theoretical minimum efficiency heat engine operating two given thermal heat reservoir different temperature,carnot engine theoretical engine operates limiting mode extreme slowness known quasi static represents theoretical minimum efficiency heat engine operating two given thermal heat reservoir different temperature,carnot engine real engine operates limiting mode extreme slowness known quasi static represents theoretical maximum efficiency heat engine operating two given thermal heat reservoir different temperature,26,5,263,41,271,42,261,42,271,41,264,41
408,Choose the correct answer: What is the revised view of the atmosphere's nature based on the time-varying multistability that is associated with the modulation of large-scale processes and aggregated feedback of small-scale processes? from the following choices.,The atmosphere is a mechanism that is only influenced by large-scale processes and does not exhibit any small-scale feedback.,"The atmosphere possesses both chaos and order, including emerging organized structures and time-varying forcing from recurrent seasons.",The atmosphere is a structure that is only influenced by small-scale processes and does not exhibit any large-scale modulation.,The atmosphere is a completely chaotic structure with no order or organization.,The atmosphere is a completely ordered structure with no chaos or randomness.,B,choose correct answer revised view atmosphere nature based time varying multistability associated modulation large scale process aggregated feedback small scale process following choice,atmosphere mechanism influenced large scale process exhibit small scale feedback,atmosphere possesses chaos order including emerging organized structure time varying forcing recurrent season,atmosphere structure influenced small scale process exhibit large scale modulation,atmosphere completely chaotic structure order organization,atmosphere completely ordered structure chaos randomness,261,37,125,19,135,17,127,19,79,12,77,12
409,What is the reason behind the adoption of a logarithmic scale of 5√100 ≈ 2.512 between magnitudes in astronomy?,The logarithmic scale was adopted to ensure that five magnitude steps corresponded precisely to a factor of 100 in brightness.,The logarithmic scale was adopted to measure the size of stars.,The logarithmic scale was adopted to measure the intensity of light coming from a star.,The logarithmic scale was adopted to ensure that the apparent sizes of stars were not spurious.,The logarithmic scale was adopted to measure the distance between stars.,A,reason behind adoption logarithmic scale magnitude astronomy,logarithmic scale adopted ensure five magnitude step corresponded precisely factor brightness,logarithmic scale adopted measure size star,logarithmic scale adopted measure intensity light coming star,logarithmic scale adopted ensure apparent size star spurious,logarithmic scale adopted measure distance star,111,19,126,20,63,11,87,15,95,16,72,11
410,Select the most accurate option: What is the main advantage of ferroelectric memristors? among the listed options.,"Ferroelectric memristors have a higher resistance than other types of memristors, making them more suitable for high-power applications.","Ferroelectric domain dynamics can be tuned, allowing for the engineering of memristor response, and resistance variations are due to purely electronic phenomena, making the device more reliable.","Ferroelectric memristors have a more complex structure than other types of memristors, allowing for a wider range of applications.",Ferroelectric memristors have a unique piezoelectric field that allows for the creation of non-uniform elastic strain and a more stable structure.,"Ferroelectric memristors are based on vertically aligned carbon nanotubes, which offer a more efficient and faster switching mechanism than other materials.",B,select accurate option main advantage ferroelectric memristors among listed option,ferroelectric memristors higher resistance type memristors making suitable high power application,ferroelectric domain dynamic tuned allowing engineering memristor response resistance variation due purely electronic phenomenon making device reliable,ferroelectric memristors complex structure type memristors allowing wider range application,ferroelectric memristors unique piezoelectric field allows creation non uniform elastic strain stable structure,ferroelectric memristors based vertically aligned carbon nanotube offer efficient faster switching mechanism material,114,17,136,18,194,27,130,19,146,21,156,21
411,Which of the following is correct? What is the role of methane in Fischer-Tropsch processes?,Methane is partially converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Methane is used as a catalyst in Fischer-Tropsch processes.,Methane is not used in Fischer-Tropsch processes.,Methane is fully converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Methane is a byproduct of Fischer-Tropsch processes.,A,following correct role methane fischer tropsch process,methane partially converted carbon monoxide utilization fischer tropsch process,methane used catalyst fischer tropsch process,methane used fischer tropsch process,methane fully converted carbon monoxide utilization fischer tropsch process,methane byproduct fischer tropsch process,92,15,95,12,59,9,49,7,91,12,52,7
412,"Pick the best possible answer: What is power density in the context of energy frameworks, and how does it differ between renewable and non-renewable energy sources? based on the given context.","Power density is a measure of the amount of power obtained per unit of Earth surface area used by a specific energy framework, including all supporting infrastructure, manufacturing, mining of fuel (if applicable) and decommissioning. Both renewable and non-renewable energy sources have similar power density, which means that the same amount of power can be obtained from power plants occupying similar areas.","Power density is a measure of the amount of power obtained per unit of Earth surface area used by a specific energy structure, including all supporting infrastructure, manufacturing, mining of fuel (if applicable) and decommissioning. Fossil fuels and nuclear power have high power density, which means large power can be drawn from power plants occupying relatively small areas. Renewable energy sources have power density at least three orders of magnitude smaller and, for the same energy output, they need to occupy accordingly larger areas.","Power density is a measure of the amount of power obtained per unit of Earth surface area used by a specific energy structure, including all supporting infrastructure, manufacturing, mining of fuel (if applicable) and decommissioning. Renewable energy sources have higher power density than non-renewable energy sources, which means that they can produce more power from power plants occupying smaller areas.","Power density is a measure of the amount of power obtained per unit of Earth surface area used by a specific energy structure, including all supporting infrastructure, manufacturing, mining of fuel (if applicable) and decommissioning. Fossil fuels and nuclear power have low power density, which means that they need to occupy larger areas to produce the same amount of power as renewable energy sources.","Power density is a measure of the amount of power obtained per unit of Earth surface area used by a specific energy mechanism, including all supporting infrastructure, manufacturing, mining of fuel (if applicable) and decommissioning. Both renewable and non-renewable energy sources have low power density, which means that they need to occupy larger areas to produce the same amount of power.",B,pick best possible answer power density context energy framework differ renewable non renewable energy source based given context,power density measure amount power obtained per unit earth surface area used specific energy framework including supporting infrastructure manufacturing mining fuel applicable decommissioning renewable non renewable energy source similar power density mean amount power obtained power plant occupying similar area,power density measure amount power obtained per unit earth surface area used specific energy structure including supporting infrastructure manufacturing mining fuel applicable decommissioning fossil fuel nuclear power high power density mean large power drawn power plant occupying relatively small area renewable energy source power density least three order magnitude smaller energy output need occupy accordingly larger area,power density measure amount power obtained per unit earth surface area used specific energy structure including supporting infrastructure manufacturing mining fuel applicable decommissioning renewable energy source higher power density non renewable energy source mean produce power power plant occupying smaller area,power density measure amount power obtained per unit earth surface area used specific energy structure including supporting infrastructure manufacturing mining fuel applicable decommissioning fossil fuel nuclear power low power density mean need occupy larger area produce amount power renewable energy source,power density measure amount power obtained per unit earth surface area used specific energy mechanism including supporting infrastructure manufacturing mining fuel applicable decommissioning renewable non renewable energy source low power density mean need occupy larger area produce amount power,192,31,411,62,545,84,408,60,404,64,393,61
413,Determine the correct option: What is the Einstein@Home project? based on the given context.,The Einstein@Home project is a project that aims to detect signals from supernovae or binary black holes. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect signals from supernovae or binary black holes. It takes data from SETI and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a distributed computing project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in large pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect simple gravitational waves with constant frequency. It takes data from SETI and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,C,determine correct option project based given context,project project aim detect signal supernova binary black hole take data ligo geo sends little piece thousand volunteer parallel analysis home computer,project project aim detect signal supernova binary black hole take data seti geo sends little piece thousand volunteer parallel analysis home computer,project distributed computing project aim detect simple gravitational wave constant frequency take data ligo geo sends little piece thousand volunteer parallel analysis home computer,project project aim detect simple gravitational wave constant frequency take data ligo geo sends large piece thousand volunteer parallel analysis home computer,project project aim detect simple gravitational wave constant frequency take data seti geo sends little piece thousand volunteer parallel analysis home computer,92,14,245,42,245,42,272,43,249,41,250,41
414,Which of the following is correct? What is the relationship between the complete electromagnetic Hamiltonian of a molecule and the parity operation?,"The complete electromagnetic Hamiltonian of any molecule is invariant to the parity operation, and its eigenvalues cannot be given the parity symmetry label + or -.","The complete electromagnetic Hamiltonian of any molecule is dependent on the parity operation, and its eigenvalues can be given the parity symmetry label even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule is dependent on the parity operation, and its eigenvalues can be given the parity symmetry label + or - depending on whether they are even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule is invariant to the parity operation, and its eigenvalues can be given the parity symmetry label + or - depending on whether they are even or odd, respectively.","The complete electromagnetic Hamiltonian of any molecule does not involve the parity operation, and its eigenvalues cannot be given the parity symmetry label + or -.",D,following correct relationship complete electromagnetic hamiltonian molecule parity operation,complete electromagnetic hamiltonian molecule invariant parity operation eigenvalue given parity symmetry label,complete electromagnetic hamiltonian molecule dependent parity operation eigenvalue given parity symmetry label even odd respectively,complete electromagnetic hamiltonian molecule dependent parity operation eigenvalue given parity symmetry label depending whether even odd respectively,complete electromagnetic hamiltonian molecule invariant parity operation eigenvalue given parity symmetry label depending whether even odd respectively,complete electromagnetic hamiltonian molecule involve parity operation eigenvalue given parity symmetry label,148,22,164,26,180,27,217,35,217,35,165,26
415,Select the most accurate option: What is the De Haas-Van Alphen effect? based on the given context.,The measurement of the electronic properties of a material using several experimental techniques.,The complex number quantity that describes AC susceptibility and AC permeability.,"The oscillation of the differential susceptibility as a function of 1/H in metals under strong magnetic fields, which relates the period of the susceptibility with the Fermi surface of the material.",The analogue non-linear relation between magnetization and magnetic field in antiferromagnetic materials.,The measurement of magnetic susceptibility in response to an AC magnetic field.,C,select accurate option de haas van alphen effect based given context,measurement electronic property material using several experimental technique,complex number quantity describes ac susceptibility ac permeability,oscillation differential susceptibility function metal strong magnetic field relates period susceptibility fermi surface material,analogue non linear relation magnetization magnetic field antiferromagnetic material,measurement magnetic susceptibility response ac magnetic field,99,17,97,13,81,11,198,31,105,12,79,12
416,Determine the correct option: What is indirect photophoresis? among the listed options.,"Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in a random direction.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light only on the irradiated side, creating a temperature gradient within the particle, and causing a migration of particles in the same direction as the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in the same direction as the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light only on the irradiated side, creating a temperature gradient within the particle, and causing a migration of particles in a direction opposite to the surface temperature gradient.","Indirect photophoresis is a phenomenon that occurs when particles absorb incident light uniformly, creating a temperature gradient within the particle, and causing a migration of particles in a direction opposite to the surface temperature gradient.",D,determine correct option indirect photophoresis among listed option,indirect photophoresis phenomenon occurs particle absorb incident light uniformly creating temperature gradient within particle causing migration particle random direction,indirect photophoresis phenomenon occurs particle absorb incident light irradiated side creating temperature gradient within particle causing migration particle direction surface temperature gradient,indirect photophoresis phenomenon occurs particle absorb incident light uniformly creating temperature gradient within particle causing migration particle direction surface temperature gradient,indirect photophoresis phenomenon occurs particle absorb incident light irradiated side creating temperature gradient within particle causing migration particle direction opposite surface temperature gradient,indirect photophoresis phenomenon occurs particle absorb incident light uniformly creating temperature gradient within particle causing migration particle direction opposite surface temperature gradient,87,12,211,30,265,39,247,35,267,39,249,35
417,Determine the correct option: What is reciprocal length or inverse length? carefully.,"Reciprocal length or inverse length is a quantity or measurement used in physics and chemistry. It is the reciprocal of time, and common units used for this measurement include the reciprocal second or inverse second (symbol: s−1), the reciprocal minute or inverse minute (symbol: min−1).","Reciprocal length or inverse length is a quantity or measurement used in geography and geology. It is the reciprocal of area, and common units used for this measurement include the reciprocal square metre or inverse square metre (symbol: m−2), the reciprocal square kilometre or inverse square kilometre (symbol: km−2).","Reciprocal length or inverse length is a quantity or measurement used in biology and medicine. It is the reciprocal of mass, and common units used for this measurement include the reciprocal gram or inverse gram (symbol: g−1), the reciprocal kilogram or inverse kilogram (symbol: kg−1).","Reciprocal length or inverse length is a quantity or measurement used in economics and finance. It is the reciprocal of interest rate, and common units used for this measurement include the reciprocal percent or inverse percent (symbol: %−1), the reciprocal basis point or inverse basis point (symbol: bp−1).","Reciprocal length or inverse length is a quantity or measurement used in several branches of science and mathematics. It is the reciprocal of length, and common units used for this measurement include the reciprocal metre or inverse metre (symbol: m−1), the reciprocal centimetre or inverse centimetre (symbol: cm−1).",E,determine correct option reciprocal length inverse length carefully,reciprocal length inverse length quantity measurement used physic chemistry reciprocal time common unit used measurement include reciprocal second inverse second symbol reciprocal minute inverse minute symbol min,reciprocal length inverse length quantity measurement used geography geology reciprocal area common unit used measurement include reciprocal square metre inverse square metre symbol reciprocal square kilometre inverse square kilometre symbol km,reciprocal length inverse length quantity measurement used biology medicine reciprocal mass common unit used measurement include reciprocal gram inverse gram symbol reciprocal kilogram inverse kilogram symbol kg,reciprocal length inverse length quantity measurement used economics finance reciprocal interest rate common unit used measurement include reciprocal percent inverse percent symbol reciprocal basis point inverse basis point symbol bp,reciprocal length inverse length quantity measurement used several branch science mathematics reciprocal length common unit used measurement include reciprocal metre inverse metre symbol reciprocal centimetre inverse centimetre symbol cm,85,12,288,45,319,49,286,45,308,48,317,48
418,"Identify the correct statement: What are amorphous ferromagnetic metallic alloys, and what are their advantages? from the following choices.","Amorphous ferromagnetic metallic alloys are crystalline alloys that can be made by rapidly cooling a liquid alloy. Their properties are nearly anisotropic, resulting in low coercivity, low hysteresis loss, high permeability, and high electrical resistivity.","Amorphous ferromagnetic metallic alloys are non-crystalline alloys that can be made by slowly heating a solid alloy. Their properties are nearly isotropic, resulting in low coercivity, low hysteresis loss, high permeability, and high electrical resistivity.","Amorphous ferromagnetic metallic alloys are crystalline alloys that can be made by slowly cooling a liquid alloy. Their properties are nearly anisotropic, resulting in high coercivity, high hysteresis loss, low permeability, and low electrical resistivity.","Amorphous ferromagnetic metallic alloys are non-crystalline alloys that can be made by rapidly cooling a liquid alloy. Their properties are nearly isotropic, resulting in low coercivity, low hysteresis loss, high permeability, and high electrical resistivity.","Amorphous ferromagnetic metallic alloys are non-crystalline alloys that can be made by rapidly heating a solid alloy. Their properties are nearly isotropic, resulting in high coercivity, high hysteresis loss, low permeability, and low electrical resistivity.",D,identify correct statement amorphous ferromagnetic metallic alloy advantage following choice,amorphous ferromagnetic metallic alloy crystalline alloy made rapidly cooling liquid alloy property nearly anisotropic resulting low coercivity low hysteresis loss high permeability high electrical resistivity,amorphous ferromagnetic metallic alloy non crystalline alloy made slowly heating solid alloy property nearly isotropic resulting low coercivity low hysteresis loss high permeability high electrical resistivity,amorphous ferromagnetic metallic alloy crystalline alloy made slowly cooling liquid alloy property nearly anisotropic resulting high coercivity high hysteresis loss low permeability low electrical resistivity,amorphous ferromagnetic metallic alloy non crystalline alloy made rapidly cooling liquid alloy property nearly isotropic resulting low coercivity low hysteresis loss high permeability high electrical resistivity,amorphous ferromagnetic metallic alloy non crystalline alloy made rapidly heating solid alloy property nearly isotropic resulting high coercivity high hysteresis loss low permeability low electrical resistivity,140,19,257,35,257,35,256,35,259,35,258,35
